CountryCode,Table Name,Income Group,Region
GTM,Guatemala,Lower middle income,Latin America & Caribbean
GUM,Guam,High income: nonOECD,East Asia & Pacific
GUY,Guyana,Lower middle income,Latin America & Caribbean
HKG,"Hong Kong SAR, China",High income: nonOECD,East Asia & Pacific
HND,Honduras,Lower middle income,Latin America & Caribbean
HRV,Croatia,High income: nonOECD,Europe & Central Asia
HTI,Haiti,Low income,Latin America & Caribbean
HUN,Hungary,High income: OECD,Europe & Central Asia
IDN,Indonesia,Lower middle income,East Asia & Pacific
IMY,Isle of Man,High income: nonOECD,Europe & Central Asia
IND,India,Lower middle income,South Asia
IRL,Ireland,High income: OECD,Europe & Central Asia
IRN,"Iran, Islamic Rep.",Upper middle income,Middle East & North Africa
IRQ,Iraq,Lower middle income,Middle East & North Africa
ISL,Iceland,High income: OECD,Europe & Central Asia
ISR,Israel,High income: OECD,Middle East & North Africa
ITA,Italy,High income: OECD,Europe & Central Asia
JAM,Jamaica,Upper middle income,Latin America & Caribbean
JOR,Jordan,Lower middle income,Middle East & North Africa
JPN,Japan,High income: OECD,East Asia & Pacific
KAZ,Kazakhstan,Upper middle income,Europe & Central Asia
KEN,Kenya,Low income,Sub-Saharan Africa
KGZ,Kyrgyz Republic,Low income,Europe & Central Asia
KHM,Cambodia,Low income,East Asia & Pacific
KIR,Kiribati,Lower middle income,East Asia & Pacific
KNA,St. Kitts and Nevis,Upper middle income,Latin America & Caribbean
KOR,"Korea, Rep.",High income: OECD,East Asia & Pacific
KSV,Kosovo,Lower middle income,Europe & Central Asia
KWT,Kuwait,High income: nonOECD,Middle East & North Africa
LAO,Lao PDR,Low income,East Asia & Pacific
LBN,Lebanon,Upper middle income,Middle East & North Africa
LBR,Liberia,Low income,Sub-Saharan Africa
LBY,Libya,Upper middle income,Middle East & North Africa
LCA,St. Lucia,Upper middle income,Latin America & Caribbean
LIE,Liechtenstein,High income: nonOECD,Europe & Central Asia
LKA,Sri Lanka,Lower middle income,South Asia
LSO,Lesotho,Lower middle income,Sub-Saharan Africa
LTU,Lithuania,Upper middle income,Europe & Central Asia
LUX,Luxembourg,High income: OECD,Europe & Central Asia
LVA,Latvia,High income: nonOECD,Europe & Central Asia
MAC,"Macao SAR, China",High income: nonOECD,East Asia & Pacific
MAR,Morocco,Lower middle income,Middle East & North Africa
MCO,Monaco,High income: nonOECD,Europe & Central Asia
MDA,Moldova,Lower middle income,Europe & Central Asia
MDG,Madagascar,Low income,Sub-Saharan Africa
MDV,Maldives,Lower middle income,South Asia
MEX,Mexico,Upper middle income,Latin America & Caribbean
MHL,Marshall Islands,Lower middle income,East Asia & Pacific
MKD,"Macedonia, FYR",Upper middle income,Europe & Central Asia
MLI,Mali,Low income,Sub-Saharan Africa
MLT,Malta,High income: nonOECD,Middle East & North Africa
MMR,Myanmar,Low income,East Asia & Pacific
MNE,Montenegro,Upper middle income,Europe & Central Asia
MNG,Mongolia,Lower middle income,East Asia & Pacific
MNP,Northern Mariana Islands,High income: nonOECD,East Asia & Pacific
MOZ,Mozambique,Low income,Sub-Saharan Africa
MRT,Mauritania,Low income,Sub-Saharan Africa
MUS,Mauritius,Upper middle income,Sub-Saharan Africa
MWI,Malawi,Low income,Sub-Saharan Africa
MYS,Malaysia,Upper middle income,East Asia & Pacific
NAM,Namibia,Upper middle income,Sub-Saharan Africa
NCL,New Caledonia,High income: nonOECD,East Asia & Pacific
NER,Niger,Low income,Sub-Saharan Africa
NGA,Nigeria,Lower middle income,Sub-Saharan Africa
NIC,Nicaragua,Lower middle income,Latin America & Caribbean
NLD,Netherlands,High income: OECD,Europe & Central Asia
NOR,Norway,High income: OECD,Europe & Central Asia
NPL,Nepal,Low income,South Asia
NZL,New Zealand,High income: OECD,East Asia & Pacific
OMN,Oman,High income: nonOECD,Middle East & North Africa
PAK,Pakistan,Lower middle income,South Asia
PAN,Panama,Upper middle income,Latin America & Caribbean
PER,Peru,Upper middle income,Latin America & Caribbean
PHL,Philippines,Lower middle income,East Asia & Pacific
PLW,Palau,Upper middle income,East Asia & Pacific
PNG,Papua New Guinea,Lower middle income,East Asia & Pacific
POL,Poland,High income: OECD,Europe & Central Asia
PRI,Puerto Rico,High income: nonOECD,Latin America & Caribbean
PRK,"Korea, Dem. Rep.",Low income,East Asia & Pacific
PRT,Portugal,High income: OECD,Europe & Central Asia
PRY,Paraguay,Lower middle income,Latin America & Caribbean
PYF,French Polynesia,High income: nonOECD,East Asia & Pacific
QAT,Qatar,High income: nonOECD,Middle East & North Africa
ROM,Romania,Upper middle income,Europe & Central Asia
RUS,Russian Federation,Upper middle income,Europe & Central Asia
RWA,Rwanda,Low income,Sub-Saharan Africa
SAU,Saudi Arabia,High income: nonOECD,Middle East & North Africa
SDN,Sudan,Lower middle income,Sub-Saharan Africa
SEN,Senegal,Lower middle income,Sub-Saharan Africa
SGP,Singapore,High income: nonOECD,East Asia & Pacific
SLB,Solomon Islands,Low income,East Asia & Pacific
SLE,Sierra Leone,Low income,Sub-Saharan Africa
SLV,El Salvador,Lower middle income,Latin America & Caribbean
SMR,San Marino,High income: nonOECD,Europe & Central Asia
SOM,Somalia,Low income,Sub-Saharan Africa
SRB,Serbia,Upper middle income,Europe & Central Asia
STP,São Tomé and Principe,Lower middle income,Sub-Saharan Africa
SUR,Suriname,Upper middle income,Latin America & Caribbean
SVK,Slovak Republic,High income: OECD,Europe & Central Asia
SVN,Slovenia,High income: OECD,Europe & Central Asia
SWE,Sweden,High income: OECD,Europe & Central Asia
SWZ,Swaziland,Lower middle income,Sub-Saharan Africa
SYC,Seychelles,Upper middle income,Sub-Saharan Africa
SYR,Syrian Arab Republic,Lower middle income,Middle East & North Africa
TCA,Turks and Caicos Islands,High income: nonOECD,Latin America & Caribbean
TCD,Chad,Low income,Sub-Saharan Africa
TGO,Togo,Low income,Sub-Saharan Africa
THA,Thailand,Lower middle income,East Asia & Pacific
TJK,Tajikistan,Low income,Europe & Central Asia
TKM,Turkmenistan,Lower middle income,Europe & Central Asia
TMP,Timor-Leste,Lower middle income,East Asia & Pacific
TON,Tonga,Lower middle income,East Asia & Pacific
TTO,Trinidad and Tobago,High income: nonOECD,Latin America & Caribbean
TUN,Tunisia,Lower middle income,Middle East & North Africa
TUR,Turkey,Upper middle income,Europe & Central Asia
TUV,Tuvalu,Lower middle income,East Asia & Pacific
TZA,Tanzania,Low income,Sub-Saharan Africa
UGA,Uganda,Low income,Sub-Saharan Africa
UKR,Ukraine,Lower middle income,Europe & Central Asia
URY,Uruguay,Upper middle income,Latin America & Caribbean
USA,United States,High income: OECD,North America
UZB,Uzbekistan,Lower middle income,Europe & Central Asia
VCT,St. Vincent and the Grenadines,Upper middle income,Latin America & Caribbean
VEN,"Venezuela, RB",Upper middle income,Latin America & Caribbean
VIR,Virgin Islands (U.S.),High income: nonOECD,Latin America & Caribbean
VNM,Vietnam,Lower middle income,East Asia & Pacific
VUT,Vanuatu,Lower middle income,East Asia & Pacific
WBG,West Bank and Gaza,Lower middle income,Middle East & North Africa
WSM,Samoa,Lower middle income,East Asia & Pacific
YEM,"Yemen, Rep.",Lower middle income,Middle East & North Africa
ZAF,South Africa,Upper middle income,Sub-Saharan Africa
ZAR,"Congo, Dem. Rep.",Low income,Sub-Saharan Africa
ZMB,Zambia,Low income,Sub-Saharan Africa
ZWE,Zimbabwe,Low income,Sub-Saharan Africa
